sample_id	exclude
MESC_CL5d2_D10_PB	TRUE
MESC_CL5d1_F3_PA	FALSE
MESC_CL5d2_G12_PB	FALSE
MESC_CL5d2_F4_PB	FALSE
MESC_CL5d2_B7_PB	FALSE
MESC_CL5d1_B2_PA	FALSE
MESC_CL5d1_H2_PA	FALSE
MESC_CL5d7_D8_PD	FALSE
MESC_CL5d1_A2_PA	FALSE
MESC_CL5d7_B7_PD	TRUE
MESC_CL5d2_G11_PB	FALSE
MESC_CL5d4_E5_PC	FALSE
MESC_CL5d1_B3_PA	FALSE
MESC_CL5d2_C11_PB	FALSE
MESC_CL5d2_E8_PB	FALSE
MESC_CL5d2_F6_PB	TRUE
MESC_CL5d4_B2_PC	TRUE
MESC_CL5d4_F2_PC	TRUE
MESC_CL5d7_F1_PD	FALSE
MESC_CL5d4_B7_PC	FALSE
MESC_CL5d2_E7_PB	FALSE
MESC_CL5d4_H4_PC	FALSE
MESC_CL5d2_C5_PB	FALSE
MESC_CL5d4_D11_PC	FALSE
MESC_CL5d1_H10_PA	FALSE
MESC_CL5d1_F6_PA	FALSE
MESC_CL5d4_C4_PC	FALSE
MESC_CL5d4_C12_PC	FALSE
MESC_CL5d4_H7_PC	TRUE
MESC_CL5d2_D5_PB	TRUE
MESC_CL5d7_E4_PD	FALSE
MESC_CL5d2_D1_PB	FALSE
MESC_CL5d2_E5_PB	FALSE
MESC_CL5d7_B8_PD	FALSE
MESC_CL5d7_H12_PD	FALSE
MESC_CL5d4_A3_PC	FALSE
MESC_CL5d7_A3_PD	FALSE
MESC_CL5d1_H7_PA	FALSE
MESC_CL5d2_A6_PB	FALSE
MESC_CL5d4_H3_PC	FALSE
MESC_CL5d7_A9_PD	FALSE
MESC_CL5d4_A1_PC	FALSE
MESC_CL5d4_D4_PC	FALSE
MESC_CL5d4_C3_PC	TRUE
MESC_CL5d1_H6_PA	FALSE
MESC_CL5d2_B9_PB	FALSE
MESC_CL5d4_A5_PC	FALSE
MESC_CL5d4_F4_PC	FALSE
MESC_CL5d7_F4_PD	FALSE
MESC_CL5d7_B10_PD	FALSE
MESC_CL5d7_F9_PD	FALSE
MESC_CL5d4_A10_PC	FALSE
MESC_CL5d4_E4_PC	FALSE
MESC_CL5d2_E1_PB	FALSE
MESC_CL5d4_D9_PC	FALSE
MESC_CL5d2_C7_PB	FALSE
MESC_CL5d2_B3_PB	FALSE
MESC_CL5d4_E10_PC	FALSE
MESC_CL5d4_H5_PC	FALSE
MESC_CL5d1_H5_PA	FALSE
MESC_CL5d1_C11_PA	FALSE
MESC_CL5d1_E1_PA	FALSE
MESC_CL5d1_F5_PA	FALSE
MESC_CL5d2_C12_PB	FALSE
MESC_CL5d7_B12_PD	FALSE
MESC_CL5d1_H8_PA	FALSE
MESC_CL5d7_H5_PD	FALSE
MESC_CL5d2_A7_PB	FALSE
MESC_CL5d2_B10_PB	FALSE
MESC_CL5d4_G2_PC	FALSE
MESC_CL5d2_B2_PB	FALSE
MESC_CL5d4_F11_PC	FALSE
MESC_CL5d4_B11_PC	FALSE
MESC_CL5d1_G7_PA	TRUE
MESC_CL5d4_B4_PC	FALSE
MESC_CL5d1_F4_PA	TRUE
MESC_CL5d4_B10_PC	FALSE
MESC_CL5d2_D4_PB	FALSE
MESC_CL5d4_B6_PC	FALSE
MESC_CL5d1_C4_PA	FALSE
MESC_CL5d2_H3_PB	FALSE
MESC_CL5d7_D10_PD	FALSE
MESC_CL5d7_A11_PD	FALSE
MESC_CL5d2_H8_PB	FALSE
MESC_CL5d2_F12_PB	FALSE
MESC_CL5d1_H11_PA	FALSE
MESC_CL5d2_F10_PB	FALSE
MESC_CL5d1_D3_PA	FALSE
MESC_CL5d4_A11_PC	FALSE
MESC_CL5d7_C1_PD	FALSE
MESC_CL5d4_G12_PC	FALSE
MESC_CL5d7_A5_PD	FALSE
MESC_CL5d2_A2_PB	FALSE
MESC_CL5d2_A10_PB	FALSE
MESC_CL5d1_D10_PA	FALSE
MESC_CL5d1_D11_PA	FALSE
MESC_CL5d4_F9_PC	FALSE
MESC_CL5d4_C8_PC	FALSE
MESC_CL5d7_C7_PD	FALSE
MESC_CL5d1_G12_PA	FALSE
MESC_CL5d1_B9_PA	FALSE
MESC_CL5d7_D7_PD	FALSE
MESC_CL5d7_C2_PD	TRUE
MESC_CL5d7_F6_PD	FALSE
MESC_CL5d2_G1_PB	FALSE
